488,581,202,166,20,1608,132,15,12,282,105
CDG-ZAGb591a09d-2370-4859-a18e-d2f486f7d071,214,62,62,212,150,200,62,180,crew20a89e06-cbe0-4e60-a266-b6eff42deafe,CDG-ZAG537515ec-6633-434d-96c6-afffed67289d
CDG-TUN83a68bc1-1510-4000-8b57-fbc7b1cc1cd2,157,63,63,213,98,200,63,180,crew1494e710-2ace-4609-a562-80bc5ef9e307,CDG-TUN47c556f7-9b28-4060-a46b-ee2823237e02
CDG-OPOf4615dde-4e20-4364-a0f4-5e7cedba4001,168,68,68,218,144,200,68,180,crew1b6bbb7c-464d-4be5-8af8-ca881268e7a6,CDG-OPO797ab297-456c-4fba-9139-61b46952646c
CDG-LHR1d10a71d-5b31-48b5-b321-fcf5cf3b63cb,110,82,82,232,125,200,82,180,crewcf439ae3-831b-4d1c-951f-9b70638cf227,CDG-LHR3528e286-7e25-458c-a996-83e651c87337
SOF-CDG75bceace-b763-428a-bebd-f0bea64f653e,146,85,85,235,187,200,85,180,crew9ae8fb43-ef77-42a8-a4c3-13d726cc1019,SOF-CDG5d929d76-13cc-4ebb-ad5b-af5e263a66ae
CPH-CDG345d7972-fc77-469c-9c95-2a7489bf3e6d,68,87,87,237,180,200,87,180,crewd67ecd7f-84ab-44b9-aaa8-e195babc673f,CPH-CDG04f05d60-dd38-41de-87d0-272f8c77008f
LIS-CDGf38b8d8e-73fb-4561-ba51-ea512486a421,226,91,91,241,114,200,91,180,crew49aa5151-95ae-489e-a586-0df8b8c1425c,LIS-CDGab11d3ae-a94f-4cf2-8cbe-3405b0fa7048
ALG-CDG1fbe10a5-dfee-457f-b8ad-0b90ca1f4950,88,91,91,241,171,200,91,180,crewa20f6734-db68-4bca-b927-74e032ba98fe,ALG-CDG1e80ef07-66b4-4637-92de-2240f1730031
CDG-LHR3528e286-7e25-458c-a996-83e651c87337,110,101,101,251,156,200,101,180,crew2703ef68-b279-44f6-bba0-606165465166,CDG-LHR84e4eb84-9eef-4bf1-a211-706543805296
TLS-CDGfeda3c0a-1bbb-40ad-9c7c-74fe3d7502eb,83,103,103,253,200,200,103,180,crew7852850a-1078-4a98-8983-30458d873315,TLS-CDGa38f7431-bcc5-4dab-8029-9ab8dc6e4598
CDG-FSC62beb827-ec54-4198-9adb-4991a58fca0b,119,106,106,256,160,200,106,180,crew355ac651-5656-4dd6-9769-0a7ed43c1a31,CDG-FSCbc20652e-928a-4252-96d6-313a228de8b6
SOF-CDG5d929d76-13cc-4ebb-ad5b-af5e263a66ae,146,108,108,258,62,200,108,180,crew1c3da2a2-5a94-43f8-a61d-0dbe1d86e20e,SOF-CDGe4ebcbf0-d9d6-4639-9b24-9fbb12c09db7
BRI-CDG93a2d002-e5b5-4c2e-8b2d-74ecfbd76400,82,110,110,260,166,200,110,180,crewf044a4bb-4dd1-4eb6-b479-516e18516922,BRI-CDGf54a403c-9139-4e7e-9ec7-7f8a25ad0eed
PRG-CDG8b316ba3-67f8-4120-8398-7aa9707ae731,99,112,112,262,135,200,112,180,crewd2aadde0-d239-425c-888f-5ae3b611dcc4,PRG-CDG4547f2e4-72cf-451e-8f1a-1700bc092211
CPH-CDG04f05d60-dd38-41de-87d0-272f8c77008f,68,112,112,262,195,200,112,180,crew8af28b1b-c900-478a-8ea6-724949eb0870,CPH-CDG89765897-5005-47c1-83bc-de3444215749
PRG-CDG4547f2e4-72cf-451e-8f1a-1700bc092211,99,124,124,274,133,200,124,180,crew31469c2b-a532-4268-8e05-a2ecbf4a4803,PRG-CDG849a3e51-33e4-4381-af64-3bafba7e140c
AJA-CDGbe2b20a4-4503-4544-93e9-c1465199c47d,223,129,129,279,195,200,129,180,crewd8fc439f-a728-40d3-b82e-5dcab20f77d1,AJA-CDGdaca2b74-d7c5-45e9-9de2-75f49818aca1
CDG-BHX59a50a46-dc08-4e3b-a15e-99f3cb2a19b4,86,132,132,282,79,200,132,180,crew29e84d8c-63a3-4ee5-9a60-3e3541354730,CDG-BHX8c35920b-4c2f-4a84-ad1b-0983a851a9b9
NAP-CDG7bcd249a-53b0-439d-8658-eb364ee31ee3,61,144,144,294,123,200,144,180,crewb74d7443-3b14-4426-b8a9-f88f1cab9117,NAP-CDGa85ebd0d-550e-422f-83da-8e0b473f5bc5
AJA-CDGdaca2b74-d7c5-45e9-9de2-75f49818aca1,223,146,146,296,174,200,146,180,crewfea1a715-2bd7-4f86-bc07-406300867546,AJA-CDGd4770e4d-b241-481a-b0cb-d6d30fd5abd2
NTE-CDG3b698a37-683c-4c02-b452-788d4c6c9eca,238,146,146,296,56,200,146,180,crewd0126812-6074-4b75-9e96-5e2c3711ef96,NTE-CDGc003f0e9-c2c3-4e11-8b70-942773ddaf4f
CDG-TUN47c556f7-9b28-4060-a46b-ee2823237e02,157,151,151,301,113,200,151,180,crew65ae4243-53a2-4924-bbff-a18c647df965,CDG-TUN14b8dd45-0757-4d4e-9db4-83e46e1e8782
CDG-LHR84e4eb84-9eef-4bf1-a211-706543805296,110,155,155,305,82,200,155,180,crewd151aee7-99ed-4d09-a3f6-b83ba2c2dc81,CDG-LHRa941e340-09bc-475c-a67a-a7a40dcc8c72
CDG-MADf76477ef-d547-4545-8e1d-025d855d9e21,199,174,174,324,178,200,174,180,crew83f55a64-549e-419b-9c1b-5fd57eb248ba,
