143,61,57,77,10,282,38,8,1,94,2
20180805AF1785TUNCDG01,145,54,54,204,66,200,54,180,crew63,20180805AF1085TUNCDG01
20180805AF1033ATHCDG01,207,172,172,322,74,200,172,180,crew102,20180805AF1233ATHCDG01
20180805AF1089OTPCDG01,173,177,177,327,112,200,177,180,crew126,20180805AF1889OTPCDG01
20180805AF1845SVOCDG01,238,184,184,334,172,200,184,180,crew180,20180805AF1145SVOCDG01
20180805AF1463ARNCDG01,160,239,239,389,72,200,239,180,crew118,20180805AF1263ARNCDG01
20180805AF7681MPLCDG01,84,239,239,389,142,200,239,180,crew101,20180805AF7683MPLCDG01
20180805AF1611HAMCDG01,92,243,243,393,147,200,243,180,crew216,20180805AF1511HAMCDG01
20180805AF1351CPHCDG01,119,244,244,394,103,200,244,180,crew181,
20180805AF7651LYSCDG01,72,250,250,400,123,200,250,180,crew145,
20180805AF1355ALGCDG01,139,284,284,434,132,200,284,180,crew177,20180805AF1555ALGCDG01
20180805AF1232CDGATH01,190,289,289,439,86,200,289,180,crew1,20180805AF1532CDGATH01
20180805AF1394CDGBUD01,122,300,300,450,91,200,300,180,crew42,20180805AF1494CDGBUD01
20180805AF1359RBACDG01,171,311,311,461,57,200,311,180,crew129,20180805AF1259RBACDG01
20180805AF1081LHRCDG01,62,315,315,465,93,200,315,180,crew236,20180805AF1381LHRCDG01
20180805AF1243GVACDG01,67,319,319,469,156,200,319,180,crew99,20180805AF1643GVACDG01
20180805AF1554CDGALG01,139,321,321,471,115,200,321,180,crew5,20180805AF1854CDGALG01
20180805AF1145SVOCDG01,237,335,335,485,55,200,335,180,crew237,20180805AF1045SVOCDG01
20180805AF1228CDGBLQ01,91,336,336,486,122,200,336,180,crew208,
20180805AF1381LHRCDG01,64,352,352,502,127,200,352,180,crew123,20180805AF1581LHRCDG01
20180805AF1668CDGMAN01,89,366,366,516,191,200,366,180,crew188,
20180805AF1428CDGOPO01,133,371,371,521,158,200,371,180,crew46,
20180805AF7516CDGTLS01,84,386,386,536,174,200,386,180,crew106,
20180805AF1084CDGTUN01,178,390,390,540,65,200,390,180,crew141,20180805AF1284CDGTUN01
20180805AF1642CDGGVA01,82,395,395,545,59,200,395,180,crew145,20180805AF1442CDGGVA01
20180805AF1300CDGMAD01,110,427,427,577,147,200,427,180,crew216,20180805AF1800CDGMAD01
20180805AF1854CDGALG01,135,442,442,592,187,200,442,180,crew130,20180805AF1354CDGALG01
20180805AF1262CDGARN01,157,446,446,596,57,200,446,180,crew102,20180805AF1462CDGARN01
20180805AF1464CDGLED01,189,450,450,600,149,200,450,180,crew88,20180805AF1664CDGLED01
20180805AF1044CDGSVO01,214,457,457,607,113,200,457,180,crew236,20180805AF1144CDGSVO01
20180805AF1146CDGWAW01,128,463,463,613,89,200,463,180,crew99,
BUD-BAHAMASeeae600f-6f04-4401-9435-223cc9ba5d23,124,463,463,463,144,200,54171,180,c8501c73-eb17-47d8-bd2f-2b062808b409,
20180805AF1532CDGATH01,210,464,464,614,154,200,464,180,crew155,
20180805AF1395BUDCDG01,141,465,465,615,149,200,465,180,crew42,20180805AF1495BUDCDG01
20180805AF1229BLQCDG01,99,474,474,624,134,200,474,180,crew208,
20180805AF1722CDGMUC01,103,491,491,641,70,200,491,180,crew126,20180805AF1822CDGMUC01
20180805AF1669MANCDG01,78,499,499,649,121,200,499,180,crew188,
20180805AF1580CDGLHR01,100,501,501,651,55,200,501,180,crew180,20180805AF1280CDGLHR01
ALG-BAHAMAS920cdf8b-84db-44b5-a7ce-d5a98d946253,119,506,506,506,178,200,59202,180,a03cd461-bd38-4e40-9752-7c998b82582e,
20180805AF7517TLSCDG01,75,509,509,659,150,200,509,180,crew106,
GVA-BAHAMAS9071adca-99f6-43a9-855c-bb0955ed3013,72,511,511,511,55,200,59787,180,ad0bd1ba-6c92-4cdf-b0e4-7f3453800ef7,
20180805AF1888CDGOTP01,157,513,513,663,69,200,513,180,crew183,20180805AF1588CDGOTP01
20180805AF1284CDGTUN01,156,517,517,667,193,200,517,180,crew123,20180805AF1184CDGTUN01
20180805AF1643GVACDG01,70,523,523,673,125,200,523,180,crew145,20180805AF1443GVACDG01
20180805AF1233ATHCDG01,198,538,538,688,155,200,538,180,crew1,20180805AF1533ATHCDG01
20180805AF1555ALGCDG01,141,545,545,695,94,200,545,180,crew5,20180805AF1855ALGCDG01
OPO-BAHAMAS6fc97f83-80f8-470e-8b81-55539c42ac24,119,549,549,549,133,200,64233,180,80d198ec-5414-4ef6-9458-d71c7f205051,
20180805AF1429OPOCDG01,120,556,556,706,119,200,556,180,crew46,
20180805AF1258CDGRBA01,156,564,564,714,129,200,564,180,crew129,20180805AF1358CDGRBA01
20180805AF1301MADCDG01,124,604,604,754,76,200,604,180,crew216,20180805AF1801MADCDG01
ALG-BAHAMAS040e8dd4-d0dd-4d6e-9487-b8b0c02adc72,110,607,607,607,140,200,71019,180,be58d25c-d1eb-40e4-83f9-af50d660076b,
20180805AF1085TUNCDG01,140,634,634,784,66,200,634,180,crew141,20180805AF1285TUNCDG01
WAW-BAHAMAS12c3d604-f6c8-4791-8ae8-4adc2f8e4afa,216,634,634,634,186,200,74178,180,59366931-d0c2-47c4-b94c-c8d946d837fe,
ARN-BAHAMAS6630250b-f51f-40ce-a2f6-1382c8ad135d,212,635,635,635,59,200,74295,180,a0b9b4af-d6ed-4451-a167-a25d0c483342,
20180805AF1147WAWCDG01,139,640,640,790,71,200,640,180,crew99,
20180805AF7680CDGMPL01,71,641,641,791,68,200,641,180,crew106,20180805AF7686CDGMPL01
20180805AF1442CDGGVA01,69,645,645,795,67,200,645,180,crew208,20180805AF1242CDGGVA01
20180805AF1855ALGCDG01,140,647,647,797,58,200,647,180,crew124,
20180805AF1723MUCCDG01,91,651,651,801,121,200,651,180,crew179,20180805AF1823MUCCDG01
20180805AF1263ARNCDG01,149,652,652,802,55,200,652,180,crew68,
20180805AF1581LHRCDG01,64,660,660,810,52,200,660,180,crew184,20180805AF1281LHRCDG01
20180805AF1190CDGIBZ01,113,667,667,817,79,200,667,180,crew47,
20180805AF1596CDGCMN01,170,667,667,817,199,200,667,180,crew188,20180805AF1196CDGCMN01
20180805AF1230CDGMXP01,95,685,685,835,89,200,685,180,crew187,20180805AF1630CDGMXP01
20180805AF1588CDGOTP01,178,686,686,836,104,200,686,180,crew48,20180805AF1088CDGOTP01
LED-BAHAMASdf62f68e-823c-4715-9486-e1ba00c1e967,64,687,687,687,104,200,80379,180,520e56b2-69d7-4019-8c7c-efcec4212cd3,
20180805AF1465LEDCDG01,223,705,705,855,183,200,705,180,crew128,20180805AF384VLEDCDG01
SVO-BAHAMASb5d37847-b123-48c9-8dde-9e35c71391de,70,710,710,710,106,200,83070,180,55648e8c-d3f0-4c8e-b3f8-cf6155f903ed,
20180805AF1533ATHCDG01,200,723,723,873,131,200,723,180,crew69,
